Year,Industry,Average Call Duration (min),Hold Time (sec),Abandonment Rate (%),ASA (sec),ACW (sec),Sentiment Score,CSAT (%),Churn Rate (%),First Call Resolution (FCR %),Average Waiting Time (AWT sec),Average Handle Time (AHT min),Call Transfer Rate (%)
2024,Healthcare,4.46,3.59,8.58,12.12,77.8,0.75,96.4,12.62,74.92,22.48,8.49,5.83
2023,Finance,6.64,6.8,6.56,12.95,33.66,0.41,99.16,14.53,90.21,49.64,7.98,6.13
2022,Telecommunications,3.02,6.23,5.85,9.05,38.49,0.64,79.61,14.34,92.84,34.61,10.48,9.24
2022,Finance,6.7,6.36,7.14,13.91,73.88,0.87,97.75,12.2,75.57,39.71,8.62,6.59
2024,Telecommunications,6.67,6.83,9.57,14.18,74.23,0.96,97.01,14.83,89.86,45.64,7.0,5.73
2022,Finance,6.84,6.4,7.63,11.75,87.11,0.63,97.42,14.27,86.6,51.31,7.72,6.42
2021,Retail,3.68,4.58,7.97,14.55,81.07,0.85,73.67,10.57,72.17,38.62,10.75,8.75
2024,Transportation,4.51,5.86,8.02,13.6,53.32,0.72,74.0,14.8,76.68,36.76,8.56,1.82
2023,Transportation,4.84,3.34,6.17,10.95,78.18,0.81,88.15,12.42,86.99,26.2,7.8,6.1
2023,Technology,3.52,5.98,7.31,11.85,89.26,0.12,78.71,6.09,93.73,31.53,10.24,9.43
2021,Retail,5.97,5.94,7.95,5.99,65.67,0.17,94.56,7.31,91.64,21.99,9.6,5.19
2023,Technology,5.26,3.04,6.47,13.74,79.58,0.57,73.6,10.85,89.95,32.53,7.07,1.16
2022,Transportation,6.53,6.2,9.45,7.7,35.88,0.23,99.75,7.59,85.8,27.35,5.39,3.57
2021,Transportation,6.4,6.49,5.48,14.88,62.89,0.32,73.01,12.1,91.02,41.73,8.91,4.62
2024,Finance,4.28,6.38,8.48,12.66,74.81,0.34,81.74,10.46,71.13,25.81,9.25,2.0
2021,Retail,6.13,3.72,9.53,11.0,66.93,0.43,70.08,8.13,88.58,49.08,9.3,4.81
2023,Technology,4.95,4.69,8.73,7.67,50.24,0.47,96.42,8.88,94.51,41.45,6.86,6.67
2021,Healthcare,3.71,5.5,5.38,12.33,85.87,0.43,86.78,11.39,90.54,21.53,11.03,4.99
2024,Retail,4.15,3.92,7.07,5.82,50.84,0.32,90.75,11.85,87.02,32.09,11.75,8.21
2022,Technology,4.82,6.27,5.08,11.88,63.2,0.16,97.72,12.3,70.06,48.9,7.84,4.73
2024,Transportation,6.49,5.79,5.64,7.07,32.48,0.59,70.2,8.58,87.34,24.6,11.3,9.72
2023,Healthcare,3.21,5.3,8.66,5.42,79.5,0.01,87.56,11.88,93.89,48.99,5.83,3.13
2022,Retail,5.27,6.75,6.2,11.01,60.92,0.35,94.14,7.24,92.54,58.81,6.4,1.19
2021,Healthcare,5.16,4.35,9.04,12.25,50.14,0.3,75.56,12.57,93.34,47.91,6.24,2.97
2023,Transportation,5.73,3.25,6.02,8.24,42.61,0.95,89.52,11.85,76.43,31.86,8.07,9.72
2022,Healthcare,4.1,3.75,9.98,7.23,81.27,0.13,98.19,11.56,84.94,36.07,9.8,3.21
2021,Technology,6.95,3.32,9.58,9.94,78.84,0.88,79.57,5.43,75.91,27.93,5.62,7.56
2023,Technology,5.81,5.33,8.13,11.1,72.93,0.69,94.89,6.58,79.42,55.56,8.15,4.04
2023,Telecommunications,4.26,3.21,5.91,7.67,39.45,0.74,94.85,10.48,82.72,52.09,8.57,4.37
2024,Retail,4.03,3.53,8.54,13.27,72.61,0.36,98.96,7.91,75.74,31.62,10.26,1.55
2024,Healthcare,6.25,5.86,5.47,8.49,64.02,0.88,99.04,9.39,92.84,48.96,10.24,6.22
2024,Retail,5.25,4.36,7.78,13.41,71.23,0.01,77.66,9.57,84.62,22.39,5.97,2.71
2022,Retail,6.46,3.88,8.98,9.19,69.88,0.29,88.07,5.87,80.37,45.76,8.88,9.28
2024,Finance,3.84,6.29,5.51,13.4,62.32,0.75,92.87,6.11,85.08,57.4,6.25,8.68
2023,Technology,6.47,4.66,7.96,10.12,73.45,0.35,90.92,11.76,81.1,50.69,5.73,9.59
2022,Retail,5.34,5.35,7.02,7.69,79.31,0.97,84.01,11.17,89.14,35.23,8.52,4.61
2022,Technology,5.64,5.64,7.68,8.51,72.69,0.83,88.27,6.08,89.97,21.74,6.7,8.34
2021,Transportation,3.06,3.14,7.3,10.53,30.45,0.8,81.16,12.33,91.98,28.02,9.52,2.69
2022,Technology,6.69,3.3,9.17,12.94,69.62,0.09,83.42,10.14,93.66,39.26,11.59,1.46
2022,Technology,5.81,5.79,7.88,9.3,86.63,0.17,95.71,14.02,93.28,53.31,11.69,7.56
2021,Telecommunications,6.67,6.27,8.49,7.55,69.58,0.59,89.38,14.52,82.02,22.87,9.14,5.91
2021,Finance,4.96,6.24,8.1,9.96,30.48,0.05,99.2,14.59,94.09,45.69,8.29,3.01
2023,Technology,4.83,4.58,7.43,12.01,81.52,0.1,80.44,7.11,80.14,54.94,8.14,3.66
2023,Healthcare,6.4,4.72,7.1,9.06,53.27,0.34,70.76,9.89,75.98,59.49,9.56,1.19
2024,Technology,6.08,3.99,5.66,6.45,64.15,0.53,98.69,5.97,81.04,27.87,9.18,4.69
2023,Healthcare,4.36,5.18,8.38,5.81,83.15,0.58,93.77,6.72,76.32,50.99,6.11,1.59
2021,Transportation,4.54,5.01,5.91,9.77,60.23,0.87,70.32,9.92,88.62,20.64,9.47,8.59
2021,Transportation,3.24,3.97,8.11,14.06,52.32,0.65,96.28,6.99,86.87,24.31,8.66,9.1
2022,Finance,5.97,5.32,9.83,5.88,49.0,0.96,96.36,10.37,83.04,23.08,8.54,3.8
2023,Telecommunications,4.42,4.89,9.94,14.26,59.47,0.19,76.2,6.19,73.6,29.63,11.82,7.87
2021,Telecommunications,4.93,4.85,8.45,7.26,76.07,0.15,96.25,14.84,76.7,44.69,9.73,5.82
2024,Technology,4.96,4.66,9.13,12.09,74.46,0.88,95.45,11.9,83.26,26.08,9.43,4.79
2021,Retail,6.68,4.18,9.21,6.53,40.44,0.56,76.21,9.56,84.84,33.93,5.33,2.01
2024,Finance,6.06,6.04,5.97,6.21,87.17,0.24,93.16,7.2,89.02,28.0,9.48,3.58
2024,Finance,3.24,4.34,6.84,7.97,85.06,0.47,88.28,10.47,78.07,30.83,10.86,9.66
2023,Finance,3.1,3.98,9.37,7.45,63.19,0.14,88.18,6.26,71.88,46.87,9.01,7.4
2021,Telecommunications,4.01,5.44,6.49,5.25,77.43,0.71,85.77,10.07,77.08,39.05,10.51,7.87
2023,Telecommunications,3.78,5.08,6.78,14.32,82.21,0.87,92.2,13.24,70.13,24.94,7.82,8.45
2021,Technology,4.34,6.21,5.41,10.05,60.8,0.58,92.66,9.15,76.72,53.44,11.09,9.15
2022,Healthcare,5.62,5.01,7.37,9.48,55.58,0.93,84.93,9.79,73.97,27.49,10.8,4.25
2024,Telecommunications,6.81,3.34,9.75,5.24,71.22,0.18,72.35,14.8,82.49,35.97,8.47,7.44
2024,Telecommunications,3.33,6.19,8.41,14.75,88.32,0.84,77.68,13.71,85.98,30.1,8.2,1.4
2021,Technology,5.04,6.36,6.81,5.46,73.0,0.54,88.14,13.33,70.43,54.93,7.61,1.69
2024,Healthcare,5.55,3.82,7.15,13.07,38.22,0.16,83.61,10.16,83.05,55.22,7.64,6.37
2023,Retail,6.05,4.8,5.45,6.77,61.81,0.38,75.13,5.96,87.12,26.96,7.07,8.5
2022,Telecommunications,5.32,6.84,6.93,12.35,80.18,0.08,94.41,10.98,79.69,56.3,7.72,3.41
2024,Technology,6.1,6.64,9.25,14.67,68.02,0.44,73.56,12.01,72.67,36.66,10.37,9.49
2021,Technology,4.34,3.28,8.73,11.67,44.53,0.08,90.28,5.49,89.97,42.04,5.76,1.34
2022,Telecommunications,3.6,3.5,7.45,8.93,55.06,0.32,84.64,7.53,84.48,31.7,9.02,1.96
2024,Telecommunications,6.43,4.68,7.54,12.42,61.74,0.41,83.42,10.51,76.9,44.67,8.06,7.8
2021,Telecommunications,5.39,5.68,5.17,9.92,69.19,0.08,91.85,7.98,83.42,20.33,8.15,9.75
2023,Technology,3.47,4.89,5.25,7.59,71.91,0.65,74.96,12.36,77.86,49.04,5.47,5.05
2024,Retail,3.9,6.25,5.14,10.17,56.77,0.74,81.45,14.75,92.7,51.97,6.33,8.56
2023,Retail,5.63,6.65,5.31,9.04,81.95,0.87,80.34,7.03,87.02,24.13,10.89,5.81
2021,Telecommunications,3.39,6.81,6.72,7.37,74.66,0.93,86.79,14.38,70.85,31.79,10.58,7.91
2024,Finance,6.39,3.1,8.47,12.39,45.37,0.86,85.92,5.27,87.46,31.09,10.74,3.01
2021,Healthcare,4.92,6.89,7.54,11.22,36.5,0.62,78.94,13.96,74.32,49.9,6.72,2.72
2023,Healthcare,4.83,5.16,7.96,7.78,79.81,0.78,90.69,7.82,74.62,21.49,7.29,8.26
2023,Healthcare,4.16,4.47,9.16,8.48,31.68,0.29,77.26,7.25,76.29,41.87,5.25,5.45
2023,Healthcare,5.46,6.29,6.03,11.55,77.27,0.06,76.18,12.0,83.15,50.32,8.44,2.38
2024,Finance,4.74,3.58,5.25,11.07,57.08,0.4,79.86,9.27,84.82,53.06,5.71,7.22
2022,Technology,3.97,5.36,8.49,5.55,45.5,0.01,96.23,7.66,90.85,51.37,9.95,6.36
2022,Telecommunications,6.36,5.74,9.5,7.88,74.84,0.45,85.33,9.93,91.77,31.37,7.73,6.82
2021,Finance,3.85,6.73,6.11,13.35,80.27,0.83,76.47,5.84,71.38,49.09,10.22,2.41
2021,Technology,6.56,6.22,8.03,14.99,31.33,0.57,98.75,14.83,73.27,27.82,8.16,1.27
2022,Retail,5.7,5.45,9.67,9.32,66.6,0.05,91.07,11.2,94.27,44.07,6.47,4.0
2024,Technology,3.78,5.58,6.4,13.05,84.1,0.39,95.87,12.38,88.81,21.81,8.98,6.39
2022,Telecommunications,5.66,6.14,5.35,8.58,32.62,0.97,84.94,11.95,84.79,33.75,10.19,2.97
2021,Telecommunications,6.24,6.13,6.96,8.01,85.95,0.08,92.57,6.06,76.2,46.9,9.53,5.08
2021,Telecommunications,6.96,6.97,6.38,8.77,32.81,0.35,99.37,8.29,72.77,42.58,8.69,5.43
2021,Transportation,4.19,6.84,7.47,6.29,45.86,0.45,81.27,9.9,91.71,39.97,9.94,1.08
2022,Retail,4.58,4.61,8.67,11.77,57.33,0.06,89.75,5.12,93.43,51.56,5.73,3.33
2024,Transportation,4.91,3.32,6.47,6.03,32.21,0.7,75.49,10.66,77.26,56.85,7.37,9.78
2024,Technology,5.91,5.87,5.56,6.9,55.07,0.5,95.6,7.28,93.12,23.98,10.34,7.15
2023,Technology,3.13,3.26,5.91,14.2,66.15,0.63,81.84,11.68,86.75,52.0,9.06,5.43
2021,Transportation,6.86,6.82,9.77,11.94,58.78,0.66,85.63,13.07,85.1,22.44,7.93,7.08
2024,Transportation,5.28,4.01,8.06,10.23,80.55,0.02,99.42,11.41,94.9,50.77,6.11,5.4
2024,Technology,3.35,6.73,7.78,9.84,86.61,0.58,77.74,11.41,93.68,44.92,6.56,5.64
2023,Finance,6.41,6.82,7.28,11.62,51.24,0.69,78.99,5.58,71.5,58.16,7.4,7.69
2021,Retail,5.01,4.66,7.31,13.89,40.79,0.59,81.46,11.26,80.88,22.81,11.96,8.04
2024,Retail,4.38,3.92,6.91,11.75,72.65,0.6,72.09,6.47,79.0,46.75,9.02,9.76
2024,Finance,6.93,4.23,6.83,11.89,37.27,0.53,70.23,9.97,78.91,33.73,8.91,1.81
2024,Healthcare,4.92,3.29,8.06,14.87,44.8,0.34,86.23,13.59,70.81,50.59,8.07,4.19
2022,Retail,5.25,3.33,9.12,9.31,44.87,0.65,77.35,12.08,87.97,36.29,6.02,3.18
2024,Transportation,6.94,4.27,7.51,14.45,63.19,0.52,92.7,14.38,81.17,20.61,6.17,5.31
2022,Healthcare,5.82,4.69,9.96,10.11,51.62,0.08,99.54,14.37,78.93,55.35,7.69,3.34
2021,Healthcare,5.47,3.14,9.02,10.81,64.53,0.89,88.94,9.55,92.39,53.49,9.71,8.47
2024,Transportation,5.65,5.31,6.95,11.96,55.96,0.57,72.5,12.06,83.07,20.3,7.1,8.12
2022,Telecommunications,6.47,6.13,7.0,6.97,47.38,0.72,82.11,5.14,76.28,43.1,9.82,2.56
2022,Transportation,6.43,4.48,9.24,8.07,72.69,0.13,99.97,8.28,89.58,34.57,9.08,1.45
2022,Technology,4.55,4.49,6.97,14.66,52.33,0.07,95.83,9.29,88.52,55.02,5.53,8.47
2022,Finance,5.93,3.01,7.32,7.16,31.28,0.38,99.41,10.03,88.5,54.93,5.49,5.74
2022,Transportation,6.42,5.9,9.03,13.08,36.39,0.06,89.51,11.47,90.31,43.06,5.58,4.22
2021,Retail,5.71,4.93,5.87,5.4,44.95,0.5,84.19,10.3,89.56,51.28,7.62,4.03
2023,Finance,3.58,3.56,9.21,9.6,72.97,0.4,83.2,7.48,78.59,53.31,6.43,1.95
2023,Telecommunications,4.48,3.61,9.13,5.78,58.99,0.13,77.4,11.71,91.66,38.69,7.72,6.85
2022,Transportation,3.73,4.78,8.94,6.55,74.95,0.07,93.16,9.92,85.05,32.38,9.73,7.19
2021,Healthcare,4.31,5.6,7.8,12.89,56.7,0.54,93.17,13.17,77.59,50.12,5.56,2.7
2022,Finance,3.03,4.03,7.67,6.19,73.01,0.34,80.58,11.67,75.13,36.71,9.86,5.01
2024,Healthcare,5.24,5.29,7.01,11.26,69.84,0.55,71.84,13.73,82.83,21.19,6.42,4.67
2021,Telecommunications,4.18,4.33,7.83,11.07,81.55,0.47,98.8,6.91,92.33,53.24,8.42,7.82
2022,Technology,3.8,3.96,5.31,10.59,35.46,0.36,82.63,9.09,72.56,33.69,11.25,3.25
2021,Transportation,3.34,5.21,7.67,13.13,80.96,0.03,89.91,5.74,85.82,25.73,6.41,5.77
2024,Transportation,4.31,4.47,7.17,5.39,43.05,0.44,80.21,10.65,72.18,48.61,8.99,1.36
2023,Transportation,5.66,5.32,9.73,11.03,86.33,0.46,94.51,5.61,85.55,43.15,6.82,1.79
2021,Transportation,6.2,5.86,8.57,6.48,38.06,0.3,72.34,12.42,87.44,48.71,6.85,2.3
2021,Finance,3.89,6.46,5.94,5.88,68.61,0.27,89.06,6.05,78.93,52.42,6.34,3.59
2023,Healthcare,5.61,5.05,5.79,14.74,69.85,0.75,91.52,14.22,88.42,42.3,7.29,4.29
2022,Retail,5.13,4.25,8.16,7.15,74.59,0.57,76.38,12.58,90.67,25.96,9.93,9.28
2024,Transportation,5.35,6.12,9.26,11.11,46.02,0.34,81.18,7.97,83.38,52.33,11.46,6.77
2023,Retail,5.82,6.28,6.45,10.09,81.12,0.57,82.94,6.38,79.23,25.96,8.38,6.76
2022,Telecommunications,5.07,4.49,9.71,6.75,64.7,0.76,97.87,10.18,82.82,26.34,10.81,7.08
2023,Finance,6.15,5.97,7.98,10.28,37.46,0.17,89.42,8.03,73.12,37.83,6.57,7.18
2022,Retail,5.35,3.0,7.56,9.24,40.75,0.11,80.4,5.45,70.89,45.4,6.32,6.37
2023,Healthcare,4.19,4.19,5.8,8.88,56.75,0.98,98.09,11.3,84.35,58.68,9.37,7.09
2024,Technology,5.68,4.86,6.33,11.59,54.47,0.31,90.97,5.14,79.08,31.28,11.0,8.91
2023,Healthcare,6.11,3.93,9.43,10.85,86.89,0.36,73.56,9.81,76.47,58.39,5.41,6.57
2024,Finance,3.57,5.1,6.3,14.75,82.59,0.99,73.57,14.67,87.15,57.81,8.62,1.91
2021,Technology,4.2,4.31,6.51,6.25,60.39,0.6,76.73,11.83,80.74,55.63,10.89,5.07
2023,Finance,6.81,5.12,7.73,7.95,86.82,0.69,93.65,10.19,91.39,55.99,5.68,8.42
2022,Technology,5.92,6.09,8.6,7.34,37.68,0.29,97.8,14.68,74.19,53.57,7.46,3.12
2022,Technology,3.59,3.54,6.63,13.28,55.82,0.54,85.23,7.59,93.07,22.9,10.0,4.89
2021,Retail,5.03,5.88,6.25,6.13,40.59,0.44,70.22,11.95,94.12,35.85,6.88,5.9
2023,Finance,5.3,4.14,7.78,11.73,81.0,0.15,70.15,12.06,79.26,44.36,6.84,9.84
2021,Retail,5.7,6.92,9.58,6.37,43.88,0.37,79.29,11.8,92.46,58.91,7.99,5.57
2024,Retail,6.74,6.38,7.27,6.99,30.81,0.29,95.44,7.26,81.18,36.38,5.44,3.39
2022,Technology,5.25,3.91,5.4,11.73,31.92,0.15,83.51,11.12,81.03,20.29,9.54,3.06
2024,Retail,5.7,6.17,9.52,14.05,46.81,0.85,79.69,6.59,91.84,40.0,9.43,1.59
2021,Finance,4.47,5.49,5.09,6.68,43.48,0.78,77.4,6.74,79.79,30.22,10.4,4.08
2024,Healthcare,6.57,5.7,9.46,12.55,50.28,0.87,75.15,13.35,80.97,44.8,8.89,3.06
2022,Telecommunications,5.82,3.3,6.74,8.22,87.3,0.22,90.69,5.74,85.18,55.64,7.21,4.52
2022,Healthcare,3.69,3.1,5.08,11.2,77.42,0.63,70.45,6.63,84.83,24.73,7.09,8.37
2021,Finance,5.69,6.17,6.34,7.08,63.46,0.46,77.7,13.22,79.04,47.61,9.16,1.68
2022,Retail,4.45,4.44,7.78,6.21,88.86,0.89,77.93,14.31,94.85,51.93,8.77,4.85
2021,Healthcare,3.07,4.02,6.32,12.8,63.57,0.33,92.45,7.41,85.11,38.9,11.75,4.53
2024,Technology,6.96,4.07,5.23,8.28,39.71,0.42,78.17,10.33,90.19,56.26,10.17,9.07
2024,Technology,3.23,3.03,8.55,14.16,60.0,0.96,86.9,14.15,80.6,59.69,8.56,8.61
2022,Telecommunications,3.52,4.92,6.27,8.88,48.21,0.96,81.13,13.6,73.81,29.03,10.52,1.18
2021,Retail,6.1,6.86,9.19,8.18,44.43,0.31,89.12,9.68,75.39,59.18,6.74,3.78
2022,Healthcare,6.46,4.53,9.11,10.68,62.36,0.14,75.41,6.4,70.63,31.45,11.28,4.14
2024,Retail,3.41,6.53,6.18,12.31,76.99,0.31,93.49,14.08,93.64,39.17,10.41,4.14
2023,Technology,4.89,5.95,8.01,12.8,74.88,0.67,93.66,10.88,75.83,30.17,5.9,5.78
2024,Transportation,5.39,4.06,6.55,11.42,61.51,0.18,84.41,8.46,73.07,30.25,8.6,6.57
2024,Technology,4.74,4.29,9.01,11.35,33.92,0.86,82.67,6.51,90.08,45.02,7.74,4.26
2021,Healthcare,6.37,4.72,6.65,7.17,68.48,0.7,96.57,10.27,76.26,54.5,7.46,9.54
2021,Finance,4.93,4.17,7.17,9.24,69.62,0.71,73.13,7.21,89.65,26.39,6.72,1.21
2024,Finance,6.58,3.38,8.82,8.49,65.62,0.88,94.12,5.05,87.34,50.74,9.61,9.6
2024,Retail,5.15,6.4,8.09,5.17,33.33,0.29,77.89,5.92,77.15,55.14,9.51,8.05
2023,Telecommunications,3.9,3.79,8.5,10.58,49.12,0.14,81.76,8.17,94.34,22.1,6.47,8.77
2024,Healthcare,3.92,4.26,7.05,14.38,39.15,0.65,92.62,11.77,73.22,43.27,10.09,3.74
2024,Healthcare,5.7,4.08,7.33,14.8,61.33,0.89,84.81,6.31,82.0,32.82,8.37,6.93
2022,Telecommunications,5.73,4.87,7.14,6.06,82.04,0.32,84.44,7.26,70.95,34.54,6.02,4.38
2022,Transportation,6.7,5.69,8.71,7.26,88.68,0.42,94.57,10.06,80.86,36.34,10.06,7.88
2021,Healthcare,4.74,6.87,7.44,12.93,36.92,0.48,77.72,13.75,75.18,56.92,8.91,2.87
2024,Transportation,6.97,3.51,8.63,9.5,47.68,0.86,85.15,12.7,84.37,51.12,9.64,3.63
2023,Transportation,5.93,3.85,7.76,11.84,65.7,0.78,97.71,6.74,76.4,33.85,8.31,3.88
2021,Technology,4.39,3.25,5.24,5.47,79.13,0.44,78.38,7.79,88.03,20.2,8.59,1.21
2024,Technology,6.84,4.5,9.82,9.25,71.85,0.05,88.99,14.22,87.61,24.58,8.99,1.37
2023,Telecommunications,5.33,3.55,7.69,14.1,70.53,0.11,91.44,9.21,73.77,49.19,7.14,4.12
2023,Transportation,5.86,3.86,8.13,14.56,61.25,0.09,82.43,11.41,89.96,27.01,9.02,5.03
2024,Transportation,4.95,4.75,6.04,12.24,87.74,0.94,86.23,8.92,76.78,28.98,9.3,6.83
2021,Technology,6.47,6.91,7.09,12.13,73.83,0.75,99.63,12.37,89.96,54.26,9.5,6.89
2021,Telecommunications,6.37,5.11,9.54,12.08,32.81,0.76,94.86,8.13,84.22,27.9,6.93,7.57
2024,Retail,6.85,5.91,6.53,14.84,83.49,0.08,94.52,9.63,88.02,23.05,5.86,8.06
2021,Healthcare,3.43,4.53,6.47,11.31,46.87,0.52,75.6,14.6,80.92,21.44,7.18,5.94
2024,Transportation,5.83,6.66,9.7,7.86,44.38,0.98,87.81,7.18,79.41,48.1,9.62,6.65
2021,Technology,3.15,6.14,7.12,13.95,66.79,0.26,94.04,14.94,82.23,41.99,6.43,8.48
2024,Healthcare,5.54,4.1,9.1,5.38,46.17,0.77,93.99,11.67,87.71,21.82,10.8,4.78
2023,Finance,5.27,3.48,8.58,14.29,32.2,0.16,72.66,11.86,77.85,24.09,7.73,9.02
2024,Retail,5.94,3.82,7.8,14.59,61.43,0.36,70.14,9.58,75.85,44.39,8.16,4.78
2024,Retail,6.81,5.9,7.43,9.01,74.47,0.71,92.83,9.83,81.36,41.78,11.35,7.16
2023,Technology,4.45,5.86,9.76,10.96,43.6,0.47,83.49,6.37,74.33,57.4,6.94,7.98
2022,Retail,4.76,5.15,6.07,11.64,42.54,0.28,74.2,14.57,81.32,39.61,9.41,8.24
2023,Finance,5.62,5.55,9.32,6.31,63.69,0.19,80.73,13.28,83.56,48.67,6.69,1.49
2024,Technology,5.55,6.35,7.23,10.78,80.93,0.45,82.93,6.43,70.24,34.6,7.84,9.86
2022,Finance,3.34,4.99,7.14,9.05,33.85,0.07,91.54,10.49,93.76,22.27,6.25,1.34
2022,Healthcare,4.59,5.65,5.83,13.54,44.3,0.45,87.56,8.2,87.44,46.36,9.61,2.43
2024,Retail,3.98,4.87,6.97,14.2,55.95,0.86,76.58,10.53,74.6,40.75,5.62,8.66
2022,Transportation,3.04,6.07,6.56,11.27,34.39,0.9,78.39,6.69,79.6,46.66,8.7,5.48
2024,Healthcare,6.86,6.77,6.04,8.92,72.19,0.01,80.27,8.61,73.88,29.01,8.41,6.69
2023,Technology,6.45,5.16,7.28,6.9,71.76,0.4,78.24,10.73,75.15,57.81,7.51,8.59
2023,Transportation,3.72,5.22,8.33,7.81,54.67,0.63,95.61,8.5,76.84,36.55,9.76,1.13
2022,Retail,6.43,3.9,7.71,9.9,63.68,0.28,87.73,7.26,87.71,49.12,8.02,5.69
2021,Transportation,6.34,5.8,5.4,10.88,61.93,0.32,93.33,9.33,92.62,25.82,5.49,6.63
2021,Technology,4.03,4.99,5.26,13.29,69.42,0.92,78.01,7.67,82.64,57.34,11.17,1.77
2022,Retail,5.09,3.83,6.77,11.42,59.72,0.36,94.06,13.7,81.1,57.57,8.01,7.29
2024,Retail,3.93,5.79,8.7,7.81,79.69,0.03,78.02,6.32,75.46,46.59,9.07,6.87
2023,Retail,3.03,5.72,9.8,13.77,82.48,0.23,85.37,12.78,77.36,45.86,7.31,6.71
2023,Technology,4.37,5.33,9.7,11.21,63.89,1.0,86.73,5.43,86.31,58.57,11.27,4.67
2023,Telecommunications,3.6,5.58,7.79,11.41,85.21,0.35,78.2,10.89,77.22,54.02,7.4,6.31
2023,Retail,4.13,3.54,7.2,8.32,38.13,0.01,89.26,14.26,91.17,37.35,9.2,2.52
2023,Transportation,5.25,5.26,7.31,13.11,50.4,0.59,70.08,8.72,92.56,38.26,10.38,1.95
2023,Telecommunications,3.99,4.06,8.59,14.77,43.17,0.68,87.49,12.8,72.62,36.78,11.34,9.99
2023,Technology,4.32,6.44,7.47,10.27,40.72,0.95,74.77,5.98,77.82,25.24,6.31,4.65
2024,Telecommunications,4.73,5.14,5.74,10.24,32.73,0.66,98.15,7.03,77.14,40.36,6.29,8.59
2024,Transportation,3.29,3.44,7.69,10.5,34.84,0.26,90.86,8.09,74.34,58.51,8.37,8.47
2023,Technology,5.79,3.88,5.3,13.1,65.41,0.64,99.74,6.61,88.97,42.99,8.4,4.65
2023,Telecommunications,4.13,3.23,6.22,8.66,73.2,0.47,72.25,13.81,85.63,32.03,5.86,4.97
2021,Retail,3.6,4.97,7.05,9.25,80.8,0.97,99.82,13.98,86.99,54.39,7.25,3.96
2023,Technology,3.59,4.36,9.07,10.28,84.69,0.44,79.99,10.9,89.36,25.04,5.6,7.46
2021,Telecommunications,5.55,3.64,7.58,9.44,46.62,0.73,75.65,5.65,79.55,50.39,11.46,1.78
2024,Technology,3.33,4.71,9.07,12.73,74.98,0.21,77.91,7.52,85.89,30.72,6.54,3.0
2022,Finance,4.91,3.55,8.94,7.48,49.24,0.43,78.01,14.57,82.49,40.87,6.52,5.66
2024,Transportation,3.37,5.78,9.38,11.52,52.67,0.14,88.93,9.04,86.35,33.86,10.63,1.3
2024,Telecommunications,5.11,6.65,8.69,11.93,82.1,0.89,81.51,14.42,82.21,43.31,11.55,1.12
2024,Technology,5.39,3.59,9.48,6.84,82.2,0.19,72.76,11.41,81.16,26.24,7.96,7.71
2023,Finance,4.48,3.39,8.4,6.07,45.88,0.76,74.2,11.39,82.93,44.09,7.51,6.05
2024,Finance,5.45,3.54,5.33,12.34,73.46,0.53,89.74,9.67,75.09,35.68,5.51,2.95
2021,Transportation,4.02,3.64,7.12,9.13,74.92,0.59,88.63,13.01,78.95,50.21,7.54,3.71
2022,Telecommunications,5.89,3.73,9.75,12.71,81.74,0.66,91.73,8.42,86.56,46.67,6.07,1.22
2022,Retail,4.45,6.33,8.42,6.6,42.81,0.72,70.71,6.93,81.49,20.49,11.29,2.4
2022,Retail,6.64,4.65,5.03,6.19,76.4,0.28,97.11,5.71,86.26,57.59,5.1,5.34
2021,Healthcare,5.87,5.51,5.34,11.46,89.22,0.84,82.1,11.56,92.74,32.99,10.0,5.33
2022,Technology,3.81,5.96,6.14,10.52,89.94,0.41,88.99,13.86,81.09,39.96,11.46,7.91
2023,Retail,4.89,5.45,5.96,12.17,80.67,0.16,79.3,11.73,91.06,55.23,9.48,7.96
2022,Transportation,4.53,5.77,8.46,6.78,68.68,0.1,87.87,9.57,75.82,30.83,5.21,4.76
2023,Telecommunications,4.66,4.81,6.24,8.96,52.49,0.04,81.26,9.41,83.0,39.2,9.71,6.6
2021,Technology,6.74,5.53,9.7,6.66,45.86,0.33,98.4,9.47,70.24,43.48,9.41,9.96
2024,Retail,4.3,6.74,8.45,7.5,39.26,0.6,87.52,14.7,78.06,20.18,10.95,8.33
2022,Transportation,4.9,3.71,8.59,12.67,81.86,0.87,78.93,14.18,89.86,58.47,7.7,7.54
2024,Technology,5.67,6.68,6.85,12.93,70.5,0.75,87.88,9.67,87.48,22.75,11.52,6.38
2022,Retail,4.16,3.54,6.92,8.66,51.34,0.23,83.39,12.72,77.72,31.24,6.84,4.04
2024,Technology,5.24,4.58,6.9,12.02,49.2,0.68,86.03,8.88,82.25,49.92,11.0,5.85
2023,Technology,4.78,6.95,9.67,9.13,83.85,0.64,92.66,5.5,77.28,40.65,8.37,4.27
2023,Transportation,4.45,6.46,6.9,11.43,50.26,0.6,74.89,8.11,89.24,37.48,8.95,1.7
2021,Retail,4.32,6.94,9.9,12.31,82.54,0.5,77.99,10.24,75.32,38.63,5.27,6.81
2022,Healthcare,6.74,4.69,6.16,14.43,86.68,0.91,94.89,5.28,90.33,50.22,11.42,2.68
2024,Finance,4.33,6.13,8.99,8.32,51.75,0.35,75.81,12.34,86.49,24.9,5.2,5.3
